stage,stage_name,klass,feature,coef
1,急性度,0,L_Cr,2.3639338325154537
1,急性度,0,L_BUN,0.6826222991258957
1,急性度,0,L_UPCR,-0.606530181470539
1,急性度,0,L_uRBC,1.4492317541024768
1,急性度,0,L_uWBC,0.27103035513736473
1,急性度,0,L_NLR,1.1459038795912013
1,急性度,0,L_CRP,0.5144013223544918
1,急性度,0,L_SBP,0.3594100295997498
1,急性度,0,L_alb,0.23544488077494574
1,急性度,0,L_eos,0.2494304473001654
1,急性度,0,L_PLT,-0.3129232059110434
1,急性度,0,S_Cr,1.3326410476172639
1,急性度,0,S_BUN,0.543064074476969
1,急性度,0,S_UPCR,0.4694987800902772
1,急性度,0,S_uRBC,-0.15294356230612835
1,急性度,0,S_uWBC,-0.052823218627652886
1,急性度,0,S_NLR,0.16641122511305007
1,急性度,0,S_CRP,-0.10103936516986181
1,急性度,0,S_SBP,-0.02498659072704458
1,急性度,0,S_alb,-0.010602455369774208
1,急性度,0,S_eos,0.28334520563315074
1,急性度,0,S_PLT,0.09339705680050318
1,急性度,0,R_Cr_UPCR,0.12297069002311893
1,急性度,0,R_UPCR_alb,0.8773505934893358
1,急性度,0,R_UPCR_uRBC,0.011335149310489585
1,急性度,0,R_BUN_Cr,0.5414692634074627
1,急性度,0,R_CRP_alb,0.4739600496092931
2,部位,腎小管間質,L_Cr,0.14814380037569125
2,部位,腎小管間質,L_BUN,1.8553693445673811
2,部位,腎小管間質,L_UPCR,-0.8088870113683598
2,部位,腎小管間質,L_uRBC,-1.3427507467805304
2,部位,腎小管間質,L_uWBC,0.7894186326880898
2,部位,腎小管間質,L_NLR,-0.5926621718788558
2,部位,腎小管間質,L_CRP,-0.14139610859121737
2,部位,腎小管間質,L_SBP,-0.3618470187176033
2,部位,腎小管間質,L_alb,0.2057782285268223
2,部位,腎小管間質,L_eos,0.88172882899729
2,部位,腎小管間質,L_PLT,0.4128313570522989
2,部位,腎小管間質,S_Cr,-0.08930111716245716
2,部位,腎小管間質,S_BUN,0.04908481239576746
